1	19216800
2	19216801
3	19216802
1	19216803
2	19216804
3	19216805
1	19216806
2	19216807
3	19216808
1	19216809
2	19216810
3	19216811
1	19216812
2	19216813
3	19216814
1	19216815
2	19216816
3	19216817
1	19216818
2	19216819
3	19216820
1	19216821
2	19216822
3	19216823
1	19216824
2	19216825
3	19216826
1	19216827
2	19216828
3	19216829
1	19216830
2	19216831
3	19216832
1	19216833
2	19216834
3	19216835
1	19216836
2	19216837
3	19216838
1	19216839
2	19216840
3	19216841
1	19216842
2	19216843
3	19216844
1	19216845
2	19216846
3	19216847
1	19216848
2	19216849

